@ ------------- 3-Month T-bills and Rate of Inflation Data from ------------- @
@ ---------- pp. 74 - 76 of Newbold and Bos, "Stochastic Parameter ---------- @
@ ------------- Rgression Models", Sage University Paper no. 51 ------------- @
1953.1  1.673  1.980
1953.2  3.173  2.153
1953.3  0.492  1.957
1953.4 -0.327  1.473
1954.1 -0.333  1.060
1954.2  0.169  0.787
1954.3 -1.822  0.883
1954.4 -0.499  1.017
1955.1  0.000  1.227
1955.2  1.333  1.483
1955.3  0.662  1.857
1955.4 -0.830  2.340
1956.1  2.983  2.327
1956.2  5.115  2.567
1956.3  2.928  2.583
1956.4  2.417  3.033
1957.1  4.011  3.100
1957.2  4.296  3.137
1957.3  1.415  3.353
1957.4  4.071  3.303
1958.1  3.104  1.760
1958.2  0.462  0.957
1958.3  0.000  1.680
1958.4  0.000  2.690
1959.1  1.231  2.773
1959.2  2.451  3.000
1959.3  2.134  3.540
1959.4 -0.150  4.230
1960.1  2.728  3.873
1960.2  0.750  2.993
1960.3  2.407  2.360
1960.4  0.148  2.307
1961.1  0.148  2.350
1961.2  2.091  2.303
1961.3  0.445  2.303
1961.4  0.890  2.460
1962.1  1.776  2.723
1962.2  1.618  2.713
1962.3  0.885  2.840
1962.4  0.584  2.813
1963.1  1.022  2.907
1963.2  2.918  2.937
1963.3  1.012  3.293
1963.4  1.014  3.497
1964.1  0.864  3.530
1964.2  1.436  3.477
1964.3  1.577  3.497
1964.4  0.710  3.683
1965.1  2.849  3.890
1965.2  1.837  3.873
1965.3  1.689  3.867
1965.4  3.221  4.167
1966.1  4.038  4.610
1966.2  3.853  4.587
1966.3  2.998  5.043
1966.4  0.812  5.210
1967.1  2.702  4.513
1967.2  4.290  3.660
1967.3  3.321  4.300
1967.4  4.209  4.753
1968.1  4.427  5.050
1968.2  5.028  5.520
1968.3  4.832  5.197
1968.4  4.522  5.587
1969.1  6.966  6.093
1969.2  5.740  6.197
1969.3  5.539  7.023
1969.4  5.941  7.353
1970.1  6.437  7.210
1970.2  4.496  6.677
1970.3  5.240  6.330
1970.4  3.036  5.353
1971.1  4.574  3.840
1971.2  3.976  4.250
1971.3  2.186  5.010
1971.4  3.149  4.230
1972.1  3.235  3.437
1972.2  3.639  3.770
1972.3  3.603  4.220
1972.4  5.559  4.863
1973.1  8.811  5.700
1973.2  8.807  6.603
1973.3  9.331  8.323
1973.4 11.233  7.500
1974.1 11.316  7.617
1974.2 12.187  8.153
1974.3 11.667  8.190
1974.4  7.267  7.360
1975.1  6.282  5.750
1975.2  8.529  5.393
1975.3  6.384  6.330
1975.4  3.870  5.627
1976.1  4.943  4.917
1976.2  6.387  5.157
1976.3  4.501  5.150
1976.4  7.049  4.673
1977.1  8.596  4.630
1977.2  5.834  4.840
1977.3  4.436  5.497
1977.4  6.760  6.110
1978.1 10.391  6.393
1978.2  9.454  6.477
1978.3  8.088  7.313
1978.4  9.958  8.570
1979.1 13.719  9.383
1979.2 13.210  9.377
1979.3 11.698  9.673
1979.4 15.568 11.843
1980.1 14.447 13.353
1980.2  7.571  9.617

