#  FROM: http://www.giss.nasa.gov/data/update/gistemp/
#
#  Global Surface Air Temperature Anomaly (C) (Base: 1951-1980)
#------------------------------------------------------------
# Year  Annual_Mean 5-year_Mean         NOTE: Use read.table in R
#--------------------------------             to read this file  
 1880      -.11         *
 1881      -.13         *
 1882      -.01      -.14
 1883      -.04      -.17
 1884      -.42      -.19
 1885      -.23      -.28
 1886      -.25      -.32
 1887      -.45      -.22
 1888      -.23      -.22
 1889       .04      -.28
 1890      -.22      -.27
 1891      -.55      -.30
 1892      -.40      -.37
 1893      -.39      -.40
 1894      -.32      -.34
 1895      -.32      -.29
 1896      -.27      -.25
 1897      -.15      -.24
 1898      -.21      -.18
 1899      -.25      -.14
 1900      -.05      -.17
 1901      -.05      -.20
 1902      -.30      -.23
 1903      -.35      -.27
 1904      -.42      -.29
 1905      -.25      -.31
 1906      -.15      -.31
 1907      -.41      -.28
 1908      -.30      -.27
 1909      -.31      -.29
 1910      -.21      -.28
 1911      -.25      -.28
 1912      -.33      -.22
 1913      -.28      -.16
 1914      -.02      -.15
 1915       .06      -.18
 1916      -.20      -.19
 1917      -.46      -.20
 1918      -.33      -.25
 1919      -.09      -.21
 1920      -.15      -.14
 1921      -.04      -.11
 1922      -.09      -.11
 1923      -.16      -.11
 1924      -.11      -.09
 1925      -.15      -.08
 1926       .04      -.05
 1927      -.05      -.07
 1928       .01      -.05
 1929      -.22      -.05
 1930      -.03      -.03
 1931       .03      -.06
 1932       .04       .00
 1933      -.11      -.01
 1934       .05      -.02
 1935      -.08       .00
 1936       .01       .05
 1937       .12       .04
 1938       .15       .08
 1939      -.02       .10
 1940       .14       .10
 1941       .11       .08
 1942       .10       .10
 1943       .06       .07
 1944       .10       .05
 1945      -.01       .06
 1946       .01       .04
 1947       .12       .00
 1948      -.03      -.03
 1949      -.09      -.04
 1950      -.17      -.05
 1951      -.02      -.02
 1952       .03      -.03
 1953       .12      -.01
 1954      -.09      -.04
 1955      -.09      -.03
 1956      -.18      -.04
 1957       .08      -.01
 1958       .10       .00
 1959       .05       .06
 1960      -.02       .05
 1961       .10       .04
 1962       .05      -.02
 1963       .03      -.04
 1964      -.25      -.08
 1965      -.15      -.09
 1966      -.07      -.12
 1967      -.02      -.06
 1968      -.09      -.03
 1969       .00      -.03
 1970       .04      -.04
 1971      -.10       .01
 1972      -.05       .00
 1973       .18      -.01
 1974      -.06      -.03
 1975      -.02       .01
 1976      -.21      -.01
 1977       .16       .03
 1978       .07       .08
 1979       .13       .21
 1980       .27       .19
 1981       .40       .25
 1982       .10       .25
 1983       .34       .22
 1984       .16       .18
 1985       .13       .23
 1986       .19       .25
 1987       .35       .27
 1988       .42       .34
 1989       .28       .40
 1990       .49       .36
 1991       .44       .31
 1992       .16       .32
 1993       .18       .31
 1994       .31       .30
 1995       .47       .34
 1996       .36       .45
 1997       .40       .47
 1998       .71       .46
 1999       .43       .50
 2000       .41       .56
 2001       .56       .55
 2002       .70       .59
 2003       .66         *
 2004       .60         *

